home,Home Page,"Jakata is a fashion forward, award winning salon in Warrington Town Centre",home,1
about,About Page,About Jakata,about,1
team,Jakata Team,This is the team page,team,1
offers,Special Offers,Jakata Offers,offers,1
reviews,Recent Client Reviews,We get a wealth of amazing reviews,reviews,1
joinus,Join Jakata,Join the Jakata Team,joinus,1
models,Models Required,Apply to be a model,models,1
contact,Contact,Contact and location info,contact,1
bookings,Bookings,Book an appointments,bookings,1
blog,Jakata Blog,Read all the latest news,blog,1
